asin,name,brand,price,ratings,image,srcset,url
B07PLB9TS8,"Camisón Mujer Algodon Verano Corto,Vestidos Pijama Casual Comodo y Suave Casual sin Manga S-XXL",Aibrou,"18,99 €","4,2 de 5 estrellas",https://m.media-amazon.com/images/I/61ajAglFFUL._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/61ajAglFFUL._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/61ajAglFFUL._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/61ajAglFFUL._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/61ajAglFFUL._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/61ajAglFFUL._AC_UL960_QL65_.jpg 3x",/Aibrou-Camis%C3%B3n-Algodon-Verano-Vestidos/dp/B07PLB9TS8/ref=sr_1_28?dchild=1&qid=1593188323&s=apparel&sr=1-28
B0743D1LVZ,Marca Amazon - Lark & Ro Classic Cap-Sleeve Wrap Dress Mujer,Lark & Ro,"32,49 €","4,3 de 5 estrellas",https://m.media-amazon.com/images/I/81PVv-7MVGL._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/81PVv-7MVGL._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/81PVv-7MVGL._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/81PVv-7MVGL._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/81PVv-7MVGL._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/81PVv-7MVGL._AC_UL960_QL65_.jpg 3x",/Lark-Ro-Classic-Cap-Sleeve-Vestido/dp/B0743D1LVZ/ref=sr_1_29?dchild=1&qid=1593188323&s=apparel&sr=1-29
B07P7G4VC6,Mujer Vestido Camiseta Estampado Floral Manga Larga Vestido Casual Corto Playa con un Bolsillo,Abravo,"15,99 €","3,5 de 5 estrellas",https://m.media-amazon.com/images/I/71foAa4REgL._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/71foAa4REgL._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/71foAa4REgL._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/71foAa4REgL._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/71foAa4REgL._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/71foAa4REgL._AC_UL960_QL65_.jpg 3x",/Abravo-Vestido-Estampado-Floral-Bolsillo/dp/B07P7G4VC6/ref=sr_1_30?dchild=1&qid=1593188323&s=apparel&sr=1-30
B072MFT6JL,Marca Amazon - Daily Ritual: vestido sin mangas para mujer,Daily Ritual,"21,49 €","4,3 de 5 estrellas",https://m.media-amazon.com/images/I/71qrusKC9RL._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/71qrusKC9RL._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/71qrusKC9RL._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/71qrusKC9RL._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/71qrusKC9RL._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/71qrusKC9RL._AC_UL960_QL65_.jpg 3x",/Daily-Ritual-Pird-17031319-Blusa-Medium/dp/B072MFT6JL/ref=sr_1_31?dchild=1&qid=1593188323&s=apparel&sr=1-31
B07TT9M72L,Vestido Largo Floral Maxi de Verano Manga Corta para Mujer Sexy Cuello En V Floral Impreso Vintage Estilo Etnico de Alta Split Beach,Enjoyoself,"19,99 €","3,8 de 5 estrellas",https://m.media-amazon.com/images/I/71J6AUcYhCL._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/71J6AUcYhCL._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/71J6AUcYhCL._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/71J6AUcYhCL._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/71J6AUcYhCL._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/71J6AUcYhCL._AC_UL960_QL65_.jpg 3x",/Vestido-Floral-Verano-Impreso-Vintage/dp/B07TT9M72L/ref=sr_1_32?dchild=1&qid=1593188323&s=apparel&sr=1-32
B07JH94JPQ,Vestidos De Verano De Lino Mujer | Túnica Suelta Corte Sin Mangas con Cuello En V hasta La Rodilla Y 2 Bolsillos Delanteros | Tallas Desde Pequeña hasta Plus,CityComfort,"17,99 €","4,3 de 5 estrellas",https://m.media-amazon.com/images/I/71OCBQcSlKL._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/71OCBQcSlKL._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/71OCBQcSlKL._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/71OCBQcSlKL._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/71OCBQcSlKL._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/71OCBQcSlKL._AC_UL960_QL65_.jpg 3x",/Vestido-Rodilla-Cintura-Bolsillos-Delanteros/dp/B07JH94JPQ/ref=sr_1_33?dchild=1&qid=1593188323&s=apparel&sr=1-33
B088KCXY6V,Vestidos Largos Verano Mujer Casual Sin Mangas Vestido Playa de Fiesta Mujer,CNFIO,"17,99 €","3,8 de 5 estrellas",https://m.media-amazon.com/images/I/51ojnh4EW8L._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/51ojnh4EW8L._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/51ojnh4EW8L._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/51ojnh4EW8L._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/51ojnh4EW8L._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/51ojnh4EW8L._AC_UL960_QL65_.jpg 3x",/CNFIO-Vestidos-Largos-Verano-Vestido/dp/B088KCXY6V/ref=sr_1_34?dchild=1&qid=1593188323&s=apparel&sr=1-34
B075MLD71Z,Marca Amazon - MERAKI Vestido de Tirantes Slim Fit Mujer,MERAKI,"11,25 €","4,1 de 5 estrellas",https://m.media-amazon.com/images/I/71izCl7YrjL._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/71izCl7YrjL._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/71izCl7YrjL._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/71izCl7YrjL._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/71izCl7YrjL._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/71izCl7YrjL._AC_UL960_QL65_.jpg 3x",/MERAKI-Vestido-Tirantes-Mujer-X-Small/dp/B075MLD71Z/ref=sr_1_35?dchild=1&qid=1593188323&s=apparel&sr=1-35
B086QCQQNY,Mujer Vestidos Casual Manga Corta Cuello V Suelto Impreso Boho Florales Nacional Noche Playa Vacaciones Verano Vestido,Onsoyours,"6,99 €","3,8 de 5 estrellas",https://m.media-amazon.com/images/I/51yIeuIwuuL._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/51yIeuIwuuL._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/51yIeuIwuuL._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/51yIeuIwuuL._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/51yIeuIwuuL._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/51yIeuIwuuL._AC_UL960_QL65_.jpg 3x",/Onsoyours-Florales-Nacional-Vacaciones-Amarillo/dp/B086QCQQNY/ref=sr_1_36?dchild=1&qid=1593188323&s=apparel&sr=1-36
B07R156XVD,Vestidos Verano Mujer Mini Vestidos Sin Mangas Cuello Redondo Moda Casual Tallas Grandes Vestidos Elegantes Vestidos de Playa Sexy Vestidos,kenoce,"19,99 €","3,5 de 5 estrellas",https://m.media-amazon.com/images/I/51wgXDuuSaL._AC_UL320_.jpg,"https://m.media-amazon.com/images/I/51wgXDuuSaL._AC_UL320_.jpg 1x, https://m.media-amazon.com/images/I/51wgXDuuSaL._AC_UL480_QL65_.jpg 1.5x, https://m.media-amazon.com/images/I/51wgXDuuSaL._AC_UL640_QL65_.jpg 2x, https://m.media-amazon.com/images/I/51wgXDuuSaL._AC_UL800_QL65_.jpg 2.5x, https://m.media-amazon.com/images/I/51wgXDuuSaL._AC_UL960_QL65_.jpg 3x",/Kidsform-KENOCEMUSWINADE1879-Felpa-Cappuccio-Donna/dp/B07R156XVD/ref=sr_1_37?dchild=1&qid=1593188323&s=apparel&sr=1-37
